zip_before,publisher_record_id,name,operator,lifecycle,lat,lng,publisher_precision,basis_rule,publisher_sentence,evidence_url,quality_flags
85301,aligned-phx13-glendale-az,Aligned PHX-13,Aligned Data Centers,under_construction,33.5387,-112.186,exact,ATLAS_NOTES_AREA_CENTROID,Coordinates are the Glendale area centroid.,https://news.constructconnect.com/aligned-data-centers-breaks-ground-in-glendale-expanding-arizona-infrastructure,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT
58436,applied-digital-polaris-forge-1-ellendale-nd,Applied Digital Polaris Forge 1,Applied Digital Corporation,under_construction,46.003,-98.509,exact,ATLAS_NOTES_AREA_CENTROID,Coordinates are Ellendale city centroid;,https://ir.applieddigital.com/news-events/press-releases/detail/123/applied-digital-announces-250mw-ai-data-center-lease-with,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT
58005,applied-digital-polaris-forge-2-harwood-nd,Applied Digital Polaris Forge 2,Applied Digital Corporation,under_construction,47.02,-97.025,exact,ATLAS_NOTES_AREA_CENTROID,Coordinates are Harwood city centroid;,https://ir.applieddigital.com/news-events/press-releases/detail/127/applied-digital-to-break-ground-on-3-billion-polaris-forge,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT;COARSE_COORDINATES
85354,arizona-land-consulting-hassayampa-ranch-tonopah-az,Hassayampa Ranch Data Center,Arizona Land Consulting,proposed,33.511576,-112.769387,exact,ATLAS_NOTES_AREA_LEVEL,"Coordinates are an approximate town-level geocode near Tonopah, not a parcel-confirmed point.",https://www.connectcre.com/stories/25b-data-center-greenlit-near-buckeye/,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT
39042,avaio-taurus-brandon-ms,AVAIO Digital Taurus,AVAIO Digital Partners,under_construction,32.27,-89.99,exact,ATLAS_NOTES_AREA_CENTROID,"Coordinates approximate (Brandon city center, Rankin County).",https://www.prnewswire.com/news-releases/avaio-digital-to-build-new-ai-ready-6-billion-data-center-hub-in-brandon-mississippi-302533141.html,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT;COARSE_COORDINATES
39056,aws-clinton-hinds-ms,AWS Clinton Data Center,Amazon Web Services,under_construction,32.3415,-90.3218,approximate,ATLAS_NOTES_AREA_CENTROID,"Coordinates are a geocode of Clinton, MS (city centroid) — no source fetched in this run gives a street address or the industrial-park parcel.",https://www.aboutamazon.com/news/company-news/amazon-25-billion-mississippi-data-centers,PUBLISHER_AREA_POINT;PUBLISHER_APPROXIMATE
85339,aws-laveen-az,AWS Laveen Data Center Campus,Amazon Web Services,proposed,33.3727,-112.1669,exact,ATLAS_NOTES_AREA_CENTROID,Coordinates are the Laveen area centroid.,https://www.datacenterdynamics.com/en/news/amazon-acquires-220-acres-in-phoenix-arizona-for-possible-data-center/,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT
39046,aws-project-atlas-madison-county-ms,AWS Project Atlas – Madison County Mega Site (Canton),Amazon Web Services,under_construction,32.6121,-90.039,approximate,ATLAS_NOTES_AREA_CENTROID,Coordinates are approximate Canton-area centroid.,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/,PUBLISHER_AREA_POINT;PUBLISHER_APPROXIMATE
36513,beacon-calvert-al,Calvert Infrastructure Hub,Beacon Data Centers,proposed,31.1551748,-88.0099997,approximate,ATLAS_NOTES_AREA_CENTROID,"Coordinates are the Calvert community centroid, not the 650-acre parcel.",https://beacondatacenters.com/campuses/calvert/,PUBLISHER_AREA_POINT;PUBLISHER_APPROXIMATE
66018,beale-project-pilot-de-soto-ks,Beale Project Pilot (De Soto),Beale Infrastructure,under_construction,38.966,-94.967,exact,ATLAS_NOTES_AREA_CENTROID,Coordinates are De Soto city centroid;,https://johnsoncountypost.com/2025/08/26/de-soto-advances-3-1-billion-data-center-project-near-panasonic-plant-267209/,PUBLISHER_CLAIMS_EXACT;PUBLISHER_AREA_POINT
